       2      3      4      5      6      7      8      9      10     A
20     S      S      S      S      S      S      S      S      S      S
19     S      S      S      S      S      S      S      S      S      S
18     S      S      S      S      S      S      S      S      S      S
17     S      S      S      S      S      S      S      S      S      S
16     S      S      S      S      S      H      H      H      S      H
15     S      S      S      S      S      H      H      H      H      H
14     S      S      S      S      S      H      H      H      H      H
13     S      S      S      S      S      H      H      H      H      H
12     H      H      H      S      S      H      H      H      H      H
11     Ds     Ds     Ds     Dh     Dh     Dh     Dh     Ds     Dh     H
10     Ds     Ds     Dh     Dh     Dh     Dh     Dh     Dh     H      H
9      Ds     Dh     Dh     Ds     Ds     H      H      H      H      H
8      H      H      H      H      H      H      H      H      H      H
7      H      H      H      H      H      H      H      H      H      H
6      H      H      H      H      H      H      H      H      H      H
5      H      H      H      H      H      H      H      H      H      H
4      H      H      H      H      H      H      H      H      H      H
A,9    S      S      S      S      S      S      S      S      S      S
A,8    S      S      S      S      S      S      S      S      S      S
A,7    S      Ds     Dh     Dh     Dh     S      S      H      H      H
A,6    H      Dh     Ds     Ds     Ds     H      H      H      H      H
A,5    H      H      Ds     Ds     Ds     H      H      H      H      H
A,4    H      H      Ds     Ds     Dh     H      H      H      H      H
A,3    H      H      Ds     Dh     Ds     H      H      H      H      H
A,2    H      H      Dh     Dh     Dh     H      H      H      H      H
A,A    SP     SP     SP     SP     SP     SP     SP     SP     SP     SP
10,10  S      S      S      S      S      S      S      S      S      S
9,9    SP     SP     SP     SP     SP     SP     SP     SP     S      SP
8,8    SP     SP     SP     SP     SP     SP     SP     SP     SP     SP
7,7    SP     SP     SP     SP     SP     SP     SP     H      H      H
6,6    SP     SP     SP     SP     SP     SP     H      H      H      H
5,5    Dh     Dh     Ds     Dh     Dh     Ds     Dh     Dh     H      H
4,4    H      H      H      SP     SP     H      H      H      H      H
3,3    SP     SP     SP     SP     SP     SP     SP     H      H      H
2,2    SP     SP     SP     SP     SP     SP     SP     H      H      H
9,10   S      S      S      S      S      S      S      S      S      S
8,10   S      S      S      S      S      S      S      S      S      S
8,9    S      S      S      S      S      S      S      S      S      S
7,10   S      S      S      S      S      S      S      S      S      S
7,9    S      S      S      S      S      H      H      H      H      H
7,8    S      S      S      S      S      H      H      H      H      H
6,10   S      S      S      S      S      H      H      H      H      H
6,9    S      S      S      S      S      H      H      H      H      H
6,8    S      S      S      S      S      H      H      H      H      H
6,7    S      S      S      S      S      H      H      H      H      H
5,10   S      S      S      S      S      H      H      H      H      H
5,9    S      S      S      S      S      H      H      H      H      H
5,8    S      S      S      S      S      H      H      H      H      H
5,7    H      H      S      S      S      H      H      H      H      H
5,6    Ds     Ds     Ds     Dh     Dh     Ds     Ds     Ds     Ds     H
4,10   S      S      S      S      S      H      H      H      H      H
4,9    S      S      S      S      S      H      H      H      H      H
4,8    H      H      S      S      S      H      H      H      H      H
4,7    Ds     Ds     Ds     Dh     Ds     Dh     Dh     Ds     Ds     H
4,6    Dh     Dh     Dh     Ds     Dh     Dh     Ds     Ds     H      H
4,5    Ds     Ds     Ds     Dh     Dh     H      H      H      H      H
3,10   S      S      S      S      S      H      H      H      H      H
3,9    H      H      H      S      S      H      H      H      H      H
3,8    Ds     Ds     Ds     Dh     Ds     Ds     Dh     Ds     Dh     H
3,7    Ds     Dh     Dh     Ds     Ds     Dh     Ds     Dh     H      H
3,6    Dh     Dh     Ds     Dh     Dh     H      H      H      H      H
3,5    H      H      H      H      H      H      H      H      H      H
3,4    H      H      H      H      H      H      H      H      H      H
2,10   H      H      H      S      S      H      H      H      H      H
2,9    Dh     Ds     Ds     Ds     Ds     Ds     Dh     Dh     Ds     H
2,8    Ds     Dh     Dh     Dh     Ds     Ds     Dh     Ds     H      H
2,7    Ds     Ds     Dh     Dh     Ds     H      H      H      H      H
2,6    H      H      H      H      H      H      H      H      H      H
2,5    H      H      H      H      H      H      H      H      H      H
2,4    H      H      H      H      H      H      H      H      H      H
2,3    H      H      H      H      H      H      H      H      H      H
